#,Номер законопроекта,Категория,Тема,Название на сайте ГД,Название,Дата принятия,Время рассмотрения ,Субъект права законодательной инициативы,Форма законопроекта,Ответственный комитет,Комитеты-соисполнители,Отрасль законодательства,Тематический блок законопроектов,Профильный комитет,Предмет ведения,Описание,Польза гражданам,Польза государству
1,545157-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Борьба с билетными спекулянтами,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2019 № 493-ФЗ «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях»,18.12.2019,466,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по культуре,020.060.000 Административные правонарушения и административная ответственность,Государственное строительство и конституционные права граждан,Комитет Государственной Думы по государственному строительству и законодательству,Совместное ведение,"Установлена административная ответственность за спекуляцию билетами на культурные мероприятия, а также за отказ организации культуры возместить полную стоимость билета в случае отмены, замены или переноса мероприятия.",удовлетворить потребность в доступе к культурным и духовным ценнсотям,защитить интересы потребителей культуры
2,682012-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Социальный навигатор,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 27.12.2019 № 461-ФЗ «О внесении изменений в Федеральный закон «О государственной социальной помощи» и статью 3 Федерального закона «О внесении изменений в Федеральный закон «Об актах гражданского состояния»,10.12.2019,96,"Депутаты Государственной Думы И.А.Яровая, В.В.Суббот, Г.К.Сафаралиев, Н.Д.Боева, Н.В.Говорин, А.Г.Кобилев, С.В.Чижов, Н.В.Малов, А.В.Маграмов, И.Х.Зиннуров, Н.В.Панков, И.М.Гусева, В.В.Иванов, А.И.Петров, Р.А.Баталова, И.В.Сапко, А.А.Максимов, В.Н.Карамышев, И.В.Станкевич, П.И.Пимашков, С.В.Бессараб, А.В.Чернышев",Федеральный закон,"	
Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по вопросам семьи, женщин и детей",070.000.000 Социальное обеспечение и социальное страхование,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Совместное ведение,"Создан механизм информирования граждан о мерах социальной защиты и положенных им льготах (социальный навигатор) с помощью создания единого call-центра, сервисов портала Госуслуги или при обращении в уполномоченные органы власти.",оперативно узнавать о положенных льготах,повысить качество социальной политики
3,761385-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Персональные данные при переводе денежных средств,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 16.12.2019 № 438-ФЗ «О внесении изменений в статьи 7 и 7-2 Федерального закона «О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма» в части уточнения вопросов, связанных с проведением идентификации физических лиц, осуществляющих и получающих почтовые переводы денежных средств»",03.12.2019,132,"Депутаты Государственной Думы А.Г.Аксаков, И.Б.Дивинский, О.А.Николаев, А.Н.Изотов, В.И.Афонский, З.Д.Геккиев, Е.Б.Шулепов, И.М.Гусева, Н.С.Кувшинова, В.С.Скруг, Д.С.Скриванов, С.В.Чижов, А.А.Гетта, Г.А.Карлов, Ю.Н.Швыткин, М.С.Гаджиев, М.В.Романов, А.Л.Красов, С.А.Гаврилов",Федеральный закон,Комитет Государственной Думы по финансовому рынку,нет ,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по финансовому рынку,Ведение РФ,"Введена упрощенная идентификация граждан при совершении почтовых денежных отправлений – данные, которые будут требовать у граждан при оформлении почтового денежного перевода, ограничатся сведениями о его фамилии, имени и отчестве, серии и номере паспорта.",удобнее и быстрее совершать почтовые денежные переводы,развивать систему почтовых денежных переводов
4,754054-7 ,Социальное обеспечение и льготы,Социальная поддержка граждан,Страховые выплаты в случае смерти застрахованного,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 02.12.2019 № 413-ФЗ «О внесении изменений в статьи 7 и 15 Федерального закона «Об обязательном социальном страховании от несчастных случаев на производстве и профессиональных заболеваний»,21.11.2019,128,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",нет ,060.000.000 Труд и занятость населения,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Совместное ведение,"Установлено, что страховую выплату в случае смерти работника на производстве могут получить его родители, находившиеся на его иждивении.",родителям-иждивенцам получить гарантированные выплаты в случае потери кормильца,повысить уровень социальной защиты отдельных лиц
5,755304-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Принудительная выплата зарплаты,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 02.12.2019 № 393-ФЗ «О внесении изменений в Трудовой кодекс Российской Федерации по вопросам принудительного исполнения обязанности работодателя по выплате заработной платы и иных сумм, причитающихся работнику»",21.11.2019,127,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",нет ,060.000.000 Труд и занятость населения,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Ведение РФ,"Установлено право госинспектора труда направлять решение о принудительном исполнении обязанности по выплате зарплаты в исполнительное производство, если работодатель ранее не выполнил предписание об устранении нарушений.",получать причитающуюся им зарплату своевременно и в полном размере, гарантировать защиту права на получение вознаграждения за труд.
6,755318-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Принудительная выплата зарплаты,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 02.12.2019 № 402-ФЗ «О внесении изменений в Федеральный закон «Об исполнительном производстве»,21.11.2019,127,Правительство Российской Федерации,Федеральный закон,Комитет Государственной Думы по безопасности и противодействию коррупции,нет ,180.080.000 Исполнительное производство,Оборона и безопасность,Комитет Государственной Думы по безопасности и противодействию коррупции,Ведение РФ,"Установлено право госинспектора труда направлять решение о принудительном исполнении обязанности по выплате зарплаты в исполнительное производство, если работодатель ранее не выполнил предписание об устранении нарушений.",получать причитающуюся им зарплату своевременно и в полном размере, гарантировать защиту права на получение вознаграждения за труд.
7,691690-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Трудовые гарантии работницам села,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 12.11.2019 № 372-ФЗ «О внесении изменений в Трудовой кодекс Российской Федерации в части установления гарантий женщинам, работающим в сельской местности»",24.10.2019,67,"Депутаты Государственной Думы В.В.Володин, А.К.Исаев, С.И.Неверов, М.В.Тарасенко, С.В.Бессараб",Федеральный закон,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по вопросам семьи, женщин и детей",060.000.000 Труд и занятость населения,Социальная политика,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Совместное ведение,"Женщинам, работающим в сельской местности, гарантируется сокращенная 36-часовая неделя с оплатой в том же размере, что и при полной рабочей неделе.",получать за свой труд зарплату в полном объеме,защитить работниц села от риска снижения им зарплаты за укороченную неделю и недоплат за тяжелые условия труда
8,692202-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Освобождение матпомощи студентам от НДФЛ,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 29.09.2019 № 327-ФЗ «О внесении изменения в статью 217 части второй Налогового кодекса Российской Федерации»,12.09.2019,146,"Депутаты Государственной Думы И.А.Яровая, Н.Д.Боева, Н.В.Говорин, А.Г.Кобилев, Л.Н.Тутова, Н.В.Малов, И.М.Гусева, Ю.В.Кобзев",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по образованию и науке,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,Материальную помощь для студентов освободили от НДФЛ.,получать положенную им материальную помощь в полном объеме," учесть пожелания студенческого сообщества, оказывать нуждающимся поддержку"
9,684987-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Выплата стипендий студентам,ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 26.07.2019 № 237-ФЗ «О внесении изменений в статью 30 Федерального закона «О внесении изменений в отдельные законодательные акты Российской Федерации в связи с совершенствованием правового положения государственных (муниципальных) учреждений»,16.07.2019,98,"Депутаты Государственной Думы В.Б.Кидяев, А.К.Исаев, В.М.Шишкоедов, В.А.Казаков, Г.А.Карлов, Н.С.Максимова, А.А.Поляков, Н.В.Малов, С.В.Петров, Н.П.Николаев, О.В.Савастьянова, И.М.Гусева",Федеральный закон,Комитет Государственной Думы по бюджету и налогам,нет,080.000.000 Финансы,"Бюджетное, налоговое, финансовое законодательство",Комитет Государственной Думы по бюджету и налогам,Ведение РФ,"Закон предлагает дополнить перечень операций, доступных бюджетным учреждениям при заблокированном счете, операциями по выплате стипендий, материальной помощи и других денежных выплат обучающимся по очной форме обучения за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов РФ и местных бюджетов.", гарантированно получать причитающиеся им выплаты, обеспечить доступ граждан к материальному обеспечению
10,620203-7,Социальное обеспечение и льготы,Социальная поддержка граждан,Социальное предпринимательство,"ФЕДЕРАЛЬНЫЙ ЗАКОН ОТ 26.07.2019 № 245-ФЗ «О внесении изменений в Федеральный закон «О развитии малого и среднего предпринимательства в Российской Федерации» в части закрепления понятий «социальное предпринимательство», «социальное предприятие»»",11.07.2019,192,Правительство Российской Федерации,Федеральный закон,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству","Комитет Государственной Думы по труду, социальной политике и делам ветеранов, Комитет Государственной Думы по природным ресурсам, собственности и земельным отношениям, Комитет Государственной Думы по федеративному устройству и вопросам местного самоуправления",090.000.000 Хозяйственная деятельность,Экономическая политика,"Комитет Государственной Думы по экономической политике, промышленности, инновационному развитию и предпринимательству",Совместное ведение,"Закон вводит понятие социального предпринимательства — деятельность, при которой малое или среднее предприятие обеспечивает занятость социально уязвимых категорий граждан, способствует реализации производимой ими продукции, само производит товары для социально уязвимых групп или осуществляет деятельность, направленную на «достижение общественно полезных целей, способствующих решению социальных проблем граждан и общества в целом». Также для социально ориентированных предприятий предусмотрены меры финансовой и имущественной господдержки. ","получать доступные товары и услуги, проще найти работу","решить важные социальные вопросы (в т. ч. повышение уровня занятости инвалидов, выпускников детских домов и пенсионеров, получение этими категориями населения необходимых товаров и услуг)"
